"00000000";"BANCO DO BRASIL SA";"2038";"10";"120000000000,00";"05";""
"00000001";"ASSOCIACAO DE AMIGOS DE BAIRRO DO CONJ PAULISTANO";"3999";"16";"0,00";"05";""
"00000002";"WM&R EMPREITEIRA DE CONSTRUCAO CIVIL LIMITADA";"2240";"49";"0,00";"05";""
"00000003";"CASA CARIDADE LUZETE ROBERTA DE MORAIS CONJ PAULISTANO";"3999";"16";"0,00";"05";""
"00000004";"ASSOCIACAO DO PEQUENO ADOLECENTE DO CONJ PAULISTANO";"3999";"16";"0,00";"05";""
"00000005";"SERRALHERIA PORTA DE ACO REAL S/C LTDA";"2240";"28";"0,00";"05";""
"00000006";"ACADEMIA DE BALLET PAULA FIRETTI LTDA";"2062";"49";"1000,00";"01";""
"00000007";"ADVOCACIA BERGANTIN E ASSOCIADOS";"2240";"49";"0,00";"01";""
"00000008";"A.R. ZANOTI E SILVA S/C LTDA";"2240";"49";"0,00";"01";""
"00000009";"SUWAN REPRESENTACOES LTDA";"2240";"49";"0,00";"01";""
"00000010";"ADUB SERVICOS GERAIS DE AUTOS LTDA";"2240";"28";"0,00";"05";""
"00000011";"KAWANISHI MANUTENCAO ELETRICA INDUSTRIAL S/C LTDA";"2240";"49";"0,00";"01";""
"00000012";"APARTH ADMINISTRACAO S/C LTDA";"2240";"49";"0,00";"05";""
"00000013";"SAMPAIO SERVICOS CONTABEIS LTDA";"2240";"49";"0,00";"01";""
"00000014";"CLUBE DE MAES DA CASA VERDE ALTA E ADJACENCIAS";"3999";"16";"0,00";"05";""
"00000015";"DOS - INSTALACAO DE SISTEMAS DE AUDIO E VIDEO S/S LTDA";"2240";"49";"0,00";"01";""
"00000016";"MICRO-ARTE COMUNICACOES VISUAIS LTDA";"2062";"49";"10000,00";"05";""
"00000017";"ASSOCIACAO VIVER EM CRISTO";"3999";"16";"0,00";"05";""
"00000018";"AUTOMAR AGROPECUARIA DO URUCUIA LIMITADA";"2062";"49";"0,00";"05";""
"00000019";"DOCENA & DOCENA CONSULTORES EM INFORMATICA E ASSOCIADOS LTDA";"2062";"49";"362,00";"05";""
"00000020";"ASSISTEC.SYS MANUTENCAO DE MICROINFORMATICA S/C LTDA";"2240";"28";"0,00";"05";""
"00000021";"OMEGA ASSESSORIA DE SERVICES E SEGURANCA S/C LTDA";"2240";"49";"0,00";"05";""
"00000022";"SIMTEC INFORMATICA S/C LTDA";"2240";"49";"0,00";"01";""
"00000023";"CAMACHO E FERIGOLLI INFORMATICA S/C LTDA";"2240";"49";"0,00";"05";""
"00000024";"CAIXA DE CUSTEIO DA EEPSG PROF JACOMO STAVALE";"3999";"16";"0,00";"05";""
"00000025";"SOCIEDADE AMIGOS DE BAIRRO DR ULISSES GUIMARAES";"3999";"16";"0,00";"05";""
"00000026";"PARTIDO DEMOCRATICO SOCIAL";"3999";"16";"0,00";"05";""
"00000027";"CONDUS CONSULTORIA DE ENGENHARIA S/C LTDA";"2240";"28";"0,00";"05";""
"00000028";"TARGET ENGENHARIA E CONSULTORIA LTDA.";"2062";"49";"450000,00";"05";""
"00000029";"MCL ASSESSORIA EMPRESARIAL S/C LTDA";"2240";"49";"0,00";"01";""
"00000030";"BIANCHI E DUALIBY OFTALMOLOGIA E DERMATOLOGIA ESPECIALIZADA SOCIEDADE SIMPLES LIMITADA";"2240";"49";"0,00";"01";""
"00000031";"18 DE MAIO ESPORTE CLUBE";"3999";"16";"0,00";"05";""
"00000032";"CONDOMINIO EDIFICIO CANOVA";"3085";"19";"0,00";"05";""
"00000033";"GACI GASTRO CENTRO ITABERABA SC LTDA";"2240";"49";"0,00";"05";""
"00000034";"TERPAL TERRAPLANAGEM E PAVIMENTACAO LTDA";"2062";"49";"0,00";"05";""
"00000035";"IBIZA CORRETORA DE SEGUROS S/S LTDA";"2240";"49";"0,00";"05";""
"00000036";"CENTRO AUTOMOTIVO TEMA LTDA";"2240";"28";"0,00";"05";""
"00000037";"ASSOCIACAO DOS ADVOGADOS DE PIRITUBA";"3131";"16";"0,00";"05";""
"00000038";"RECLIN CLINICA DE REABILITACAO S/C LTDA";"2240";"49";"0,00";"01";""
"00000039";"MISSAO RAMA DO BRASIL";"3999";"16";"0,00";"05";""
"00000040";"SILVA & LOPES AUTO MECANICA FUNILARIA E PINTURA S/C LTD";"2240";"36";"0,00";"01";""
"00000041";"FOTOTAL SERVICOS LTDA";"2062";"49";"0,00";"01";""
"00000042";"AUTO POSTO CASCAO LTDA";"2062";"49";"2000000,00";"05";""
"00000043";"IGREJA EVANGELICA ASSEMBLEIA DE DEUS CHAVE DE DAVI";"3999";"16";"0,00";"05";""
"00000044";"HARTMANN & PEREIRA SERVICOS DE MANUTECAO S/C LTDA";"2097";"16";"0,00";"05";""
"00000045";"ELCE MAO DE OBRA S/C LTDA";"2240";"49";"0,00";"05";""
"00000046";"LANDON & LUISI CONSULTORES ASSOCIADOS SC LTDA";"2240";"49";"0,00";"01";""
"00000047";"PAUMAR SERVICOS E PROMOCOES S/C LTDA";"2240";"49";"0,00";"05";""
"00000048";"ASSOCIACAO VIRTUDE PLENA";"3999";"16";"0,00";"05";""
"00000049";"ASSOCIACAO DE PAIS E MESTRES EMEI PROF TITO L FERREIRA";"3999";"16";"0,00";"05";""
"00000050";"ASV MANUTENCAO DE EQUIPAMENTOS HOSPITALARES S/C LTDA";"2240";"28";"0,00";"05";""
"00000051";"ASSOCIACAO DOS AMIGOS UM MUNDO MELHORDO CONJ PAULISTANO";"3999";"16";"0,00";"05";""
"00000052";"RECREACAO ESCOLA INFANTIL TREVINHO VERDE S/C LTDA";"2240";"28";"0,00";"05";""
"00000053";"CONDOMINIO EDIFICIO MIRIAM";"3085";"19";"0,00";"05";""
"00000054";"ACAO COMUNITARIA FEMININA DO JARDIM MONTE ALEGRE";"3999";"16";"0,00";"05";""
"00000055";"GAL ENTREGADORA S/C LTDA";"2240";"28";"0,00";"05";""
"00000056";"PROMPT INFORMATICA LTDA";"2240";"49";"1000,00";"01";""
"00000057";"CONDOMINIO EDIFICIO MARCIA";"3085";"19";"0,00";"05";""
"00000058";"TALENTO SERVICOS E MAO DE OBRA LTDA";"2240";"49";"0,00";"05";""
"00000059";"CENTRO ESPIRITA SAO JORGE";"3999";"16";"0,00";"05";""
"00000060";"SOCIEDADE AMIGOS DO BAIRRO DO PARQUE PERUCHE";"3999";"16";"0,00";"05";""
"00000061";"LMW SOCIALITE COMERCIAL E CERIMONIAL LTDA";"2062";"49";"0,00";"05";""
"00000062";"CENTRO DE RECREACAO INFANTIL GRILINHO S/C.LTDA.";"2240";"28";"0,00";"05";""
"00000063";"VALENZUELA PRESTACAO DE SERV DE EMBALAGEM S/C LTDA";"2240";"28";"0,00";"01";""
"00000064";"TRANSLIRIO TRANSPORTES S/C LTDA";"2240";"49";"0,00";"01";""
"00000065";"VANZELLI COMERCIO E SERVICOS DE MATERIAIS ELETRICOS LTDA";"2062";"49";"0,00";"01";""
"00000066";"ASSOCIACAO BENEFICENTE DESPERTAR DIVINO";"3999";"16";"0,00";"05";""
"00000067";"LOJA SIMBOLICA UNIAO SANTELENENSE N 100";"3999";"16";"0,00";"05";""
"00000068";"ROSIMEIRE NICCIOLI CLERICE MANUTENCAO DE RELOGIOS";"2135";"50";"70000,00";"01";""
"00000069";"QUIRONIA INTERMEDIACAO DE NEGOCIOS LTDA";"2240";"28";"0,00";"05";""
"00000070";"NELSON ROBERTO VALINI";"2135";"50";"3600,00";"01";""
"00000071";"JP PUBLICIDADE S/C LTDA";"2240";"49";"0,00";"01";""
"00000072";"CALIC CENTRO DE APERF.DE LIMP.INDUSTRIAL E COML.S/C LTD";"2240";"49";"0,00";"05";""
"00000073";"BABY MOVEL SERVICOS INFANTIS S/C LTDA";"2240";"49";"0,00";"01";""
"00000074";"NUCLEO DE RECREACAO INFANTIL NUVEM ROSA S/C LTDA";"2240";"28";"0,00";"05";""
"00000075";"CENTRO ESPIRITA EURIPEDES BARSANULFO";"3999";"16";"0,00";"05";""
"00000076";"CONDOMINIO EDIFICIO SAN MARTIN";"3085";"19";"0,00";"05";""
"00000077";"LAVANDERIA CRUZ DA ESPERANCA LTDA";"2240";"28";"0,00";"05";""
"00000078";"ASSOC DOS MORADORES DO BL 12 CONJ HAB SITIO DOS FRANCOS";"3999";"19";"0,00";"05";""
"00000079";"CLUBE DE MAES CHAMA VIVA";"3999";"16";"0,00";"05";""
"00000080";"COMUNIDADE AGUA DA VIDA";"3999";"16";"0,00";"05";""
"00000081";"CLUBE DE MAES TIA LIBERATA";"3999";"16";"0,00";"05";""
"00000082";"MISSAO EVANGELICA PRINCIPE DA PAZ";"3999";"16";"0,00";"05";""
